id;codigo;nombre;descripcion;precio_base;moneda
1;hark consequently toward;now oh solemnly;confirm but failing;15737.86;hack incidentally
2;separation depend;podcast at;equip;6127.68;socialise
3;yippee reamer;strudel;reach;5323.06;up numb reward
4;rework;incidentally relax;hence phooey tan;1728.92;clearly except freely
5;whether;sleepily notice spicy;plumber blind;10170.84;sit
6;fast of;that total;barring philosopher;26297.43;butter hmph whoa
7;hiccough elegantly;pfft delightfully roasted;winding rapidly overhear;22842.29;thunder warm-up
8;gadzooks;the oh reminder;ah;20134.41;joyously innocently usable
9;peninsula miserly;cavort;soup giving;32672.77;lovable terribly
10;courageously;hmph times;pace longingly yuck;31497.82;appropriation economy through
